method,method_label,policy,regime,n_outbreak,n_null,detection_before_T2,miss_rate,premature_curve_rate,median_lead_to_T2_days,lead_q1_days,lead_q3_days,null_events_per_100d,null_curve_fpr,null_specificity,null_alert_day_proportion,null_alert_days_per_100d,null_mean_episode_duration_days,endpoint,detected_n,sensitivity_ci_low,sensitivity_ci_high
EEMD_CWT_Rt_concordance,EEMD-CWT/Rt concordance,review_1d,sensitivity_prioritized_target_2p25,180,180,0.8611111111111112,0.1388888888888889,0.5388888888888889,10.507435704803882,6.044984351500787,15.878289836339782,2.319696330662168,1.0,0.0,0.023196963306621677,2.319696330662168,1.0,observable_expansion_primary,155,0.8030084994918879,0.9041225297869472
Rt_P_gt_1,Cori-style P(Rt>1),review_1d,sensitivity_prioritized_target_2p25,180,180,0.7444444444444445,0.25555555555555554,0.7055555555555556,7.939921391038958,4.097037892823945,13.82091327059955,2.2323311441826834,0.9833333333333333,0.01666666666666672,0.022323311441826837,2.2323311441826834,1.0,observable_expansion_primary,134,0.6760800873181166,0.8025932248090947
rolling_quantile,Rolling quantile,review_1d,sensitivity_prioritized_target_2p25,180,180,0.6888888888888889,0.3111111111111111,0.6722222222222223,8.43120135947656,4.828652721454354,12.219793682726323,2.0997770681448453,0.9777777777777777,0.022222222222222254,0.020997770681448456,2.0997770681448453,1.0,observable_expansion_primary,124,0.6179052403139406,0.7519786826934499
EWMA,EWMA,review_1d,sensitivity_prioritized_target_2p25,180,180,0.6111111111111112,0.3888888888888889,0.5777777777777777,8.615281990857337,4.5694695865473065,11.838683623219765,2.3889859613183106,0.8611111111111112,0.13888888888888884,0.023889859613183104,2.3889859613183106,1.0,observable_expansion_primary,110,0.5382819727491671,0.6792968054904746
CUSUM,CUSUM,review_1d,sensitivity_prioritized_target_2p25,180,180,0.5222222222222223,0.4777777777777778,0.75,10.741705658572272,5.341819498431317,16.468135166103615,2.3468096643971803,0.9611111111111111,0.03888888888888886,0.023468096643971804,2.3468096643971803,1.0,observable_expansion_primary,94,0.4495514284463794,0.593964327201549
BOCPD,Bayesian online changepoint,review_1d,sensitivity_prioritized_target_2p25,180,180,0.7166666666666667,0.2833333333333333,0.75,9.688169212137154,5.278193073295455,17.600529240732115,2.37994818340664,0.9277777777777778,0.07222222222222219,0.023799481834066397,2.37994818340664,1.0,observable_expansion_primary,129,0.6468442560730201,0.7774343614942809
EEMD_CWT_Rt_concordance,EEMD-CWT/Rt concordance,review_1d,sensitivity_prioritized_target_2p25,180,180,0.6555555555555556,0.34444444444444444,0.5388888888888889,6.0,3.0,10.0,2.319696330662168,1.0,0.0,0.023196963306621677,2.319696330662168,1.0,original_strict_T2_stress_test,118,0.5835387271294007,0.7210715624060974
Rt_P_gt_1,Cori-style P(Rt>1),review_1d,sensitivity_prioritized_target_2p25,180,180,0.4722222222222222,0.5277777777777778,0.7055555555555556,6.0,3.0,10.0,2.2323311441826834,0.9833333333333333,0.01666666666666672,0.022323311441826837,2.2323311441826834,1.0,original_strict_T2_stress_test,85,0.4006355666587238,0.5449697387813657
rolling_quantile,Rolling quantile,review_1d,sensitivity_prioritized_target_2p25,180,180,0.4444444444444444,0.5555555555555556,0.6722222222222223,5.5,3.0,8.0,2.0997770681448453,0.9777777777777777,0.022222222222222254,0.020997770681448456,2.0997770681448453,1.0,original_strict_T2_stress_test,80,0.37376708579957624,0.5174435250806028
EWMA,EWMA,review_1d,sensitivity_prioritized_target_2p25,180,180,0.42777777777777776,0.5722222222222222,0.5777777777777777,5.0,3.0,9.0,2.3889859613183106,0.8611111111111112,0.13888888888888884,0.023889859613183104,2.3889859613183106,1.0,original_strict_T2_stress_test,77,0.35775256984097353,0.5008212243032594
CUSUM,CUSUM,review_1d,sensitivity_prioritized_target_2p25,180,180,0.37222222222222223,0.6277777777777778,0.75,6.0,3.5,11.0,2.3468096643971803,0.9611111111111111,0.03888888888888886,0.023468096643971804,2.3468096643971803,1.0,original_strict_T2_stress_test,67,0.30496481784076596,0.44481958718364617
BOCPD,Bayesian online changepoint,review_1d,sensitivity_prioritized_target_2p25,180,180,0.49444444444444446,0.5055555555555555,0.75,6.0,3.0,12.0,2.37994818340664,0.9277777777777778,0.07222222222222219,0.023799481834066397,2.37994818340664,1.0,original_strict_T2_stress_test,89,0.4222885232824806,0.5668325378055374
