city,region,bg_end,bg_mean,bg_std,sig_valid_start,bimodal_takeoff,T1,T2,T_peak,Tp,T3,T1_low,T1_high,T2_low,T2_high,Tp_low,Tp_high,pre_T1_days,alert_days,rise_days,post_peak_decline_days,resolution_days,alert_days_GT_norm,alert_days_SI_norm,T1_strength,T2_strength,T1_raw_z,T2_dom_gap,T1_to_T2_days,T1_to_peak_days,T1_lead_peak,T1_minus_sig_valid_start,short_alert_class,intervention_window,method_structural,T1_energy,T2_energy,Tp_energy,alert_days_energy,T1_energy_delta_vs_struct,T2_energy_delta_vs_struct,energy_baseline_ok,SNR,SNR_capped,log1p_SNR,T1_confidence,T2_confidence,confidence,T1_日期,T2_日期,T_peak_日期,T3_日期,disease,source_group
北京市,北京市,7,28.0,5.29,23,5.0,28,33,89,89,117,25,32,26,40,87,91,28,5,56,28,95,1.786,2.0,0.721,0.756,5.13,0.096,5,61,61,5,D_unclassified,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,24,57,89,33,-4,24,True,2434.56,1000.0,7.79793124786526,high,high,high,2025-09-29,2025-10-04,2025-11-29,2025-12-27,influenza,Influenza 2025-2026 Province
天津市,天津市,7,32.43,5.69,0,0.0,59,62,87,87,111,53,65,55,65,85,89,59,3,25,24,101,1.071,1.2,0.418,0.783,25.47,0.275,3,28,28,59,C_import_driven,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,61,66,87,5,2,4,True,447.73,447.73,6.106412145021552,medium,high,medium,2025-10-30,2025-11-02,2025-11-27,2025-12-21,influenza,Influenza 2025-2026 Province
河北省,河北省,7,135.57,32.5,0,4.0,63,75,87,87,112,62,69,68,82,85,89,63,12,12,25,100,4.286,4.8,0.481,0.642,46.93,-0.042,12,24,24,63,C_import_driven,actionable_window,v31_1_cross_pathogen_extension_v1_final_20260624,19,54,86,35,-44,-21,True,304.92,304.92,5.723308560328607,high,medium,high,2025-11-03,2025-11-15,2025-11-27,2025-12-22,influenza,Influenza 2025-2026 Province
山西省,山西省,7,65.57,21.22,0,3.0,51,54,85,85,115,51,57,47,55,83,87,51,3,31,30,97,1.071,1.2,0.51,0.85,4.61,0.177,3,34,34,51,C_import_driven,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,19,65,85,46,-32,11,True,150.92,150.92,5.023374172991772,high,high,high,2025-10-22,2025-10-25,2025-11-25,2025-12-25,influenza,Influenza 2025-2026 Province
内蒙古自治区,内蒙古自治区,7,30.14,8.25,0,41.0,48,64,80,80,112,42,54,57,71,78,83,48,16,16,32,100,5.714,6.4,0.464,0.691,3.39,-0.14,16,32,32,48,C_import_driven,actionable_window,v31_1_cross_pathogen_extension_v1_final_20260624,17,54,81,37,-31,-10,True,200.84,200.84,5.307489741092035,high,medium,high,2025-10-19,2025-11-04,2025-11-20,2025-12-22,influenza,Influenza 2025-2026 Province
辽宁省,辽宁省,7,37.43,7.52,0,43.0,48,51,83,83,119,42,54,44,53,81,86,48,3,32,36,93,1.071,1.2,0.539,0.812,3.11,0.45,3,35,35,48,C_import_driven,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,21,52,84,31,-27,1,True,353.97,353.97,5.8720355403408515,high,high,high,2025-10-19,2025-10-22,2025-11-23,2025-12-29,influenza,Influenza 2025-2026 Province
吉林省,吉林省,7,10.43,3.23,0,,28,31,65,65,101,22,30,25,38,63,66,28,3,34,36,111,1.071,1.2,0.71,0.919,8.94,0.571,3,37,37,28,C_import_driven,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,20,37,64,17,-8,6,True,131.12,131.12,4.883736805439599,high,high,high,2025-09-29,2025-10-02,2025-11-05,2025-12-11,influenza,Influenza 2025-2026 Province
黑龙江省,黑龙江省,7,21.57,4.64,0,4.0,43,59,75,75,123,40,47,52,66,71,77,43,16,16,48,89,5.714,6.4,0.833,0.87,2.52,-0.013,16,32,32,43,C_import_driven,actionable_window,v31_1_cross_pathogen_extension_v1_final_20260624,17,55,74,38,-26,-4,True,276.92,276.92,5.627340832686187,high,medium,high,2025-10-14,2025-10-30,2025-11-15,2026-01-02,influenza,Influenza 2025-2026 Province
上海市,上海市,7,57.57,11.84,0,5.0,70,73,99,99,147,68,76,66,74,97,101,70,3,26,48,65,1.071,1.2,0.546,0.688,50.36,0.419,3,29,29,70,C_import_driven,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,21,73,99,52,-49,0,True,471.25,471.25,6.157516915937862,high,high,high,2025-11-10,2025-11-13,2025-12-09,2026-01-26,influenza,Influenza 2025-2026 Province
江苏省,江苏省,7,118.29,21.97,0,49.0,68,71,98,98,138,67,74,64,72,96,100,68,3,27,40,74,1.071,1.2,0.621,0.713,47.62,0.173,3,30,30,68,C_import_driven,narrow_window,v31_1_cross_pathogen_extension_v1_final_20260624,22,65,98,43,-46,-6,True,928.97,928.97,6.835152973825061,high,high,high,2025-11-08,2025-11-11,2025-12-08,2026-01-17,influenza,Influenza 2025-2026 Province
