day_index,date,cases,disease,series_label,T1,T2,Tp,T3
0,2025-08-03,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
1,2025-08-04,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
2,2025-08-05,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
3,2025-08-06,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
4,2025-08-07,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
5,2025-08-08,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
6,2025-08-09,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
7,2025-08-10,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
8,2025-08-11,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
9,2025-08-12,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
10,2025-08-13,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
11,2025-08-14,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
12,2025-08-15,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
13,2025-08-16,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
14,2025-08-17,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
15,2025-08-18,1,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
16,2025-08-19,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
17,2025-08-20,0,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
18,2025-08-21,3,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
19,2025-08-22,1,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
20,2025-08-23,1,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
21,2025-08-24,6,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
22,2025-08-25,7,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
23,2025-08-26,6,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
24,2025-08-27,10,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
25,2025-08-28,9,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
26,2025-08-29,8,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
27,2025-08-30,11,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
28,2025-08-31,19,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
29,2025-09-01,8,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
30,2025-09-02,13,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
31,2025-09-03,11,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
32,2025-09-04,20,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
33,2025-09-05,9,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
34,2025-09-06,5,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
35,2025-09-07,1,chikungunya,Chikungunya Quanzhou 2025,18,22,27,35
